grid_id,x,y,mean_activity,median_activity,std_activity,min_activity,max_activity,valid_days,zero_activity_days,zero_activity_ratio,activity_class,mean_inflow,median_inflow,std_inflow,min_inflow,max_inflow,zero_inflow_days,zero_inflow_ratio,inflow_active_days,inflow_active_ratio,pre_activity_mean,pre_activity_median,pre_activity_std,pre_days,pre_mean_inflow,pre_median_inflow,pre_std_inflow,pre_active_days,pre_active_ratio,baseline_class,january_activity_mean,january_activity_median,january_activity_std,january_days,january_mean_inflow,january_median_inflow,january_std_inflow,post_activity_mean,post_activity_median,post_activity_std,post_days,post_mean_inflow,post_median_inflow,post_std_inflow,impact_change,impact_ratio,impact_class,impact_magnitude,affected_by_earthquake,inflow_change,inflow_impact_ratio,activity_loss,activity_recovered,inflow_loss,inflow_recovered,recovery_ratio,inflow_recovery_ratio,recovery_status,baseline_classification,final_class,classification_reason
1_2,2,1,0.0035512583634687,0.0,0.0606839295161347,0.0,1.0369674421328805,292,291,0.9965753424657534,LowActivity,0.0035512583634687,0.0,0.0606839295161347,0.0,1.0369674421328805,291,0.9965753424657534,1,0.0034246575342465,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0370345515047457,0.0,0.1959684263967402,28,0.0370345515047457,0.0,0.1959684263967402,0.0,0.0,0.0,210,0.0,0.0,0.0,0.0370345515047457,,InsufficientBaseline,0.0370345515047457,False,0.0370345515047457,,-0.0370345515047457,-0.0370345515047457,-0.0370345515047457,-0.0370345515047457,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_4,4,1,0.0310490613803664,0.0,0.2286020079498978,0.0,2.4257026291399706,292,286,0.9794520547945206,LowActivity,0.0310490613803664,0.0,0.2286020079498978,0.0,2.4257026291399706,286,0.9794520547945206,6,0.0205479452054794,0.0449204190581476,0.0,0.3300963171733637,54,0.0449204190581476,0.0,0.3300963171733637,1,0.0185185185185185,InsufficientBaseline,0.0832528964247232,0.0,0.3057061842948138,28,0.0832528964247232,0.0,0.3057061842948138,0.0205216294954037,0.0,0.1803634524748838,210,0.0205216294954037,0.0,0.1803634524748838,0.0383324773665755,,InsufficientBaseline,0.0383324773665755,False,0.0383324773665755,,-0.0383324773665755,-0.0627312669293194,-0.0383324773665755,-0.0627312669293194,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_16,16,1,1.4735048797892172,1.4102629034515242,1.5213787564261598,0.0,6.171890706245429,292,122,0.4178082191780822,LowActivity,1.4735048797892172,1.4102629034515242,1.5213787564261598,0.0,6.171890706245429,122,0.4178082191780822,170,0.5821917808219178,1.034520140198275,0.0,1.6296848144932616,54,1.034520140198275,0.0,1.6296848144932616,19,0.3518518518518518,InsufficientBaseline,1.1926231895858703,0.0,1.5524690358568884,28,1.1926231895858703,0.0,1.5524690358568884,1.623837561996858,1.6077889171910629,1.4679182383400196,210,1.623837561996858,1.6077889171910629,1.4679182383400196,0.1581030493875954,0.1528274252420968,Stable,0.1581030493875954,False,0.1581030493875954,0.1528274252420968,-0.1581030493875954,0.4312143724109876,-0.1581030493875954,0.4312143724109876,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_17,17,1,1.1862662370298596,0.9346501651927248,1.3829012848482405,0.0,6.779461480096591,292,142,0.4863013698630137,LowActivity,1.1862662370298596,0.9346501651927248,1.3829012848482405,0.0,6.779461480096591,142,0.4863013698630137,150,0.5136986301369864,0.7215833863179419,0.0,1.151065067436692,54,0.7215833863179419,0.0,1.151065067436692,17,0.3148148148148148,InsufficientBaseline,0.6435410742850775,0.0,0.9622939169638108,28,0.6435410742850775,0.0,0.9622939169638108,1.3781194679598476,1.3555162446084312,1.4404464032965991,210,1.3781194679598476,1.3555162446084312,1.4404464032965991,-0.0780423120328644,,InsufficientBaseline,0.0780423120328644,False,-0.0780423120328644,,0.0780423120328644,0.7345783936747702,0.0780423120328644,0.7345783936747702,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_18,18,1,0.2213431470555522,0.0,0.6894231493163598,0.0,5.6684739231579,292,258,0.8835616438356164,LowActivity,0.2213431470555522,0.0,0.6894231493163598,0.0,5.6684739231579,258,0.8835616438356164,34,0.1164383561643835,0.0358088780263404,0.0,0.1843230632609856,54,0.0358088780263404,0.0,0.1843230632609856,2,0.037037037037037,InsufficientBaseline,0.1323350418858903,0.0,0.4964389126262006,28,0.1323350418858903,0.0,0.4964389126262006,0.2809197064475902,0.0,0.7796227835349105,210,0.2809197064475902,0.0,0.7796227835349105,0.0965261638595499,,InsufficientBaseline,0.0965261638595499,False,0.0965261638595499,,-0.0965261638595499,0.1485846645616998,-0.0965261638595499,0.1485846645616998,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_19,19,1,0.0754754842450668,0.0,0.3415334698872544,0.0,2.7028143984734148,292,277,0.9486301369863014,LowActivity,0.0754754842450668,0.0,0.3415334698872544,0.0,2.7028143984734148,277,0.9486301369863014,15,0.0513698630136986,0.0532285275663911,0.0,0.2879270244592449,54,0.0532285275663911,0.0,0.2879270244592449,2,0.037037037037037,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.091259528147497,0.0,0.3744940755380146,210,0.091259528147497,0.0,0.3744940755380146,-0.0532285275663911,,InsufficientBaseline,0.0532285275663911,False,-0.0532285275663911,,0.0532285275663911,0.091259528147497,0.0532285275663911,0.091259528147497,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_21,21,1,0.2269857549453729,0.0,0.6140096894623716,0.0,4.105812907915026,292,252,0.863013698630137,LowActivity,0.2269857549453729,0.0,0.6140096894623716,0.0,4.105812907915026,252,0.863013698630137,40,0.136986301369863,0.248698627460541,0.0,0.5492808148536606,54,0.248698627460541,0.0,0.5492808148536606,10,0.1851851851851851,InsufficientBaseline,0.0949477411732828,0.0,0.3505488074035025,28,0.0949477411732828,0.0,0.3505488074035025,0.2390075133729894,0.0,0.6556959047952057,210,0.2390075133729894,0.0,0.6556959047952057,-0.1537508862872582,,InsufficientBaseline,0.1537508862872582,False,-0.1537508862872582,,0.1537508862872582,0.1440597721997065,0.1537508862872582,0.1440597721997065,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_22,22,1,0.0567801576656621,0.0,0.3618135130756448,0.0,3.225632898669378,292,284,0.9726027397260274,LowActivity,0.0567801576656621,0.0,0.3618135130756448,0.0,3.225632898669378,284,0.9726027397260274,8,0.0273972602739726,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0789514573255873,0.0,0.4248665901561693,210,0.0789514573255873,0.0,0.4248665901561693,0.0,,InsufficientBaseline,0.0,False,0.0,,0.0,0.0789514573255873,0.0,0.0789514573255873,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_23,23,1,0.0089913377068994,0.0,0.1084627843828896,0.0,1.327459915290382,292,290,0.9931506849315068,LowActivity,0.0089913377068994,0.0,0.1084627843828896,0.0,1.327459915290382,290,0.9931506849315068,2,0.0068493150684931,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0125022410019745,0.0,0.1278111144661342,210,0.0125022410019745,0.0,0.1278111144661342,0.0,,InsufficientBaseline,0.0,False,0.0,,0.0,0.0125022410019745,0.0,0.0125022410019745,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_24,24,1,0.0067826620594798,0.0,0.0818648296777805,0.0,1.0249653686625615,292,290,0.9931506849315068,LowActivity,0.0067826620594798,0.0,0.0818648296777805,0.0,1.0249653686625615,290,0.9931506849315068,2,0.0068493150684931,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0094311301017529,0.0,0.0964685797722852,210,0.0094311301017529,0.0,0.0964685797722852,0.0,,InsufficientBaseline,0.0,False,0.0,,0.0,0.0094311301017529,0.0,0.0094311301017529,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_25,25,1,0.0362333176032624,0.0,0.2420043999518954,0.0,2.453104575039173,292,285,0.976027397260274,LowActivity,0.0362333176032624,0.0,0.2420043999518954,0.0,2.453104575039173,285,0.976027397260274,7,0.023972602739726,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0503815654292981,0.0,0.2843026676578589,210,0.0503815654292981,0.0,0.2843026676578589,0.0,,InsufficientBaseline,0.0,False,0.0,,0.0,0.0503815654292981,0.0,0.0503815654292981,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_26,26,1,0.0049843040377999,0.0,0.0851718247335276,0.0,1.4554167790375774,292,291,0.9965753424657534,LowActivity,0.0049843040377999,0.0,0.0851718247335276,0.0,1.4554167790375774,291,0.9965753424657534,1,0.0034246575342465,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0069305560906551,0.0,0.1004332993702813,210,0.0069305560906551,0.0,0.1004332993702813,0.0,,InsufficientBaseline,0.0,False,0.0,,0.0,0.0069305560906551,0.0,0.0069305560906551,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_27,27,1,0.0044397972216922,0.0,0.0758672881811784,0.0,1.2964207887341457,292,291,0.9965753424657534,LowActivity,0.0044397972216922,0.0,0.0758672881811784,0.0,1.2964207887341457,291,0.9965753424657534,1,0.0034246575342465,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,InsufficientBaseline,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0061734323273054,0.0,0.0894615336720884,210,0.0061734323273054,0.0,0.0894615336720884,0.0,,InsufficientBaseline,0.0,False,0.0,,0.0,0.0061734323273054,0.0,0.0061734323273054,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
1_28,28,1,0.0217278024347469,0.0,0.170407527968067,0.0,1.7481329683165436,292,287,0.9828767123287672,LowActivity,0.0217278024347469,0.0,0.170407527968067,0.0,1.7481329683165436,287,0.9828767123287672,5,0.0171232876712328,0.0323728327466026,0.0,0.2378907652729157,54,0.0323728327466026,0.0,0.2378907652729157,1,0.0185185185185185,InsufficientBaseline,0.0936348771345249,0.0,0.3512543424500642,28,0.0936348771345249,0.0,0.3512543424500642,0.0094028989660136,0.0,0.0962663367180821,210,0.0094028989660136,0.0,0.0962663367180821,0.0612620443879222,,InsufficientBaseline,0.0612620443879222,False,0.0612620443879222,,-0.0612620443879222,-0.0842319781685112,-0.0612620443879222,-0.0842319781685112,,,InsufficientBaseline,InsufficientBaseline,Emergent / Temporary Activity,"Baseline insufficient, but activity appears during January or Post period"
