grid_id,x,y,mean_activity,median_activity,std_activity,min_activity,max_activity,valid_days,zero_activity_days,zero_activity_ratio,activity_class,mean_inflow,median_inflow,std_inflow,min_inflow,max_inflow,zero_inflow_days,zero_inflow_ratio,inflow_active_days,inflow_active_ratio,pre_activity_mean,pre_activity_median,pre_activity_std,pre_days,pre_mean_inflow,pre_median_inflow,pre_std_inflow,pre_active_days,pre_active_ratio,baseline_class,january_activity_mean,january_activity_median,january_activity_std,january_days,january_mean_inflow,january_median_inflow,january_std_inflow,post_activity_mean,post_activity_median,post_activity_std,post_days,post_mean_inflow,post_median_inflow,post_std_inflow,impact_change,impact_ratio,impact_class,impact_magnitude,affected_by_earthquake,inflow_change,inflow_impact_ratio,activity_loss,activity_recovered,inflow_loss,inflow_recovered,recovery_ratio,inflow_recovery_ratio,recovery_status,baseline_classification,final_class,classification_reason
1_66,66,1,3.629608786641551,3.654480149562503,1.2047788973761604,0.0,7.032277880623267,292,5,0.0171232876712328,Active,3.629608786641551,3.654480149562503,1.2047788973761604,0.0,7.032277880623267,5,0.0171232876712328,287,0.9828767123287672,4.075851444454792,4.105112632826748,1.0736199921385332,54,4.075851444454792,4.105112632826748,1.0736199921385332,54,1.0,SufficientBaseline,3.2522512812296847,3.182904937388742,0.86959910592585,28,3.2522512812296847,3.182904937388742,0.86959910592585,3.565175008687347,3.616744256104589,1.2475115999895603,210,3.565175008687347,3.616744256104589,1.2475115999895603,-0.8236001632251075,-0.202068248671236,Decrease,0.8236001632251075,True,-0.8236001632251075,-0.202068248671236,0.8236001632251075,0.3129237274576621,0.8236001632251075,0.3129237274576621,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
1_88,88,1,0.7444406107043431,0.0,1.0609017892789854,0.0,4.9432961473423855,292,175,0.5993150684931506,LowActivity,0.7444406107043431,0.0,1.0609017892789854,0.0,4.9432961473423855,175,0.5993150684931506,117,0.4006849315068493,1.4572130164578654,1.37169624717646,1.1824036071486053,54,1.4572130164578654,1.37169624717646,1.1824036071486053,40,0.7407407407407407,SufficientBaseline,1.1130844691348316,1.091340899253232,1.1752546030577766,28,1.1130844691348316,1.091340899253232,1.1752546030577766,0.5120037633388962,0.0,0.9112475961751596,210,0.5120037633388962,0.0,0.9112475961751596,-0.3441285473230338,-0.236155279589478,Decrease,0.3441285473230338,True,-0.3441285473230338,-0.236155279589478,0.3441285473230338,-0.6010807057959354,0.3441285473230338,-0.6010807057959354,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
2_5,5,2,3.1874398629981844,2.938685760455777,2.1093590641347184,0.0,13.839700132459988,292,32,0.1095890410958904,Active,3.187358842423041,2.938685760455777,2.1013417625570927,0.0,13.064676925042228,32,0.1095890410958904,260,0.8904109589041096,2.7492036915268367,2.732989008253198,1.7016318842208196,54,2.7492036915268367,2.732989008253198,1.7016318842208196,47,0.8703703703703703,SufficientBaseline,1.7770629169356371,1.7017269054533692,1.5426759826519034,28,1.7770629169356371,1.7017269054533692,1.5426759826519034,3.48817942370868,3.180698237532417,2.178618789789852,210,3.488066766528005,3.180698237532417,2.1678202206426618,-0.9721407745911996,-0.3536081293602868,Decrease,0.9721407745911996,True,-0.9721407745911996,-0.3536081293602868,0.9721407745911996,1.7110038495923678,0.9721407745911996,1.7110038495923678,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
2_31,31,2,1.3660340777216766,1.7893041481357297,1.1852699975020586,0.0,4.994893082944557,292,112,0.3835616438356164,LowActivity,1.3660340777216766,1.7893041481357297,1.1852699975020586,0.0,4.994893082944557,112,0.3835616438356164,180,0.6164383561643836,1.9938158823886607,2.1314925986829705,1.0585428063487978,54,1.9938158823886607,2.1314925986829705,1.0585428063487978,47,0.8703703703703703,SufficientBaseline,1.487530314691642,1.8454338806672044,0.9499606736753924,28,1.487530314691642,1.8454338806672044,0.9499606736753924,1.1884049725446475,1.397919640112404,1.1915609212039813,210,1.1884049725446475,1.397919640112404,1.1915609212039813,-0.5062855676970188,-0.2539279439837098,Decrease,0.5062855676970188,True,-0.5062855676970188,-0.2539279439837098,0.5062855676970188,-0.2991253421469944,0.5062855676970188,-0.2991253421469944,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
3_60,60,3,1.5648627583887758,1.47856555798883,1.5892851508339787,0.0,8.102309163627622,292,108,0.3698630136986301,LowActivity,1.5648627583887758,1.47856555798883,1.5892851508339787,0.0,8.102309163627622,108,0.3698630136986301,184,0.6301369863013698,1.531746241588564,1.4467707572291268,1.4723048910468737,54,1.531746241588564,1.4467707572291268,1.4723048910468737,35,0.6481481481481481,SufficientBaseline,1.1405293412939732,0.6457962350343492,1.3723315934802347,28,1.1405293412939732,0.6457962350343492,1.3723315934802347,1.629956223083375,1.5341972374906885,1.6416950637969243,210,1.629956223083375,1.5341972374906885,1.6416950637969243,-0.3912169002945906,-0.2554058170163109,Decrease,0.3912169002945906,True,-0.3912169002945906,-0.2554058170163109,0.3912169002945906,0.4894268817894018,0.3912169002945906,0.4894268817894018,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
3_71,71,3,1.3415307417803226,1.1943909293890629,1.3673191474710829,0.0,5.626186535105603,292,117,0.4006849315068493,LowActivity,1.3415307417803226,1.1943909293890629,1.3673191474710829,0.0,5.626186535105603,117,0.4006849315068493,175,0.5993150684931506,1.4987159633617968,1.4401235676256277,1.249891436996933,54,1.4987159633617968,1.4401235676256277,1.249891436996933,37,0.6851851851851852,SufficientBaseline,1.1951318275842364,1.2500664086525588,1.1382159693632,28,1.1951318275842364,1.2500664086525588,1.1382159693632,1.320631540028374,1.139305723201438,1.4247283596990563,210,1.320631540028374,1.139305723201438,1.4247283596990563,-0.3035841357775604,-0.2025628225755234,Decrease,0.3035841357775604,True,-0.3035841357775604,-0.2025628225755234,0.3035841357775604,0.1254997124441375,0.3035841357775604,0.1254997124441375,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
3_77,77,3,3.0155489776705084,2.763080898387307,1.851050356393916,0.0,11.42291170235351,292,18,0.0616438356164383,Active,3.0155489776705084,2.763080898387307,1.851050356393916,0.0,11.42291170235351,18,0.0616438356164383,274,0.9383561643835616,3.3240695377008374,3.0052582987301677,2.1499855014983558,54,3.3240695377008374,3.0052582987301677,2.1499855014983558,49,0.9074074074074074,SufficientBaseline,2.395050929042869,2.261330503269133,1.34549543304062,28,2.395050929042869,2.261330503269133,1.34549543304062,3.018948192527348,2.755847440452638,1.813409602582546,210,3.018948192527348,2.755847440452638,1.813409602582546,-0.929018608657968,-0.2794823026778625,Decrease,0.929018608657968,True,-0.929018608657968,-0.2794823026778625,0.929018608657968,0.6238972634844782,0.929018608657968,0.6238972634844782,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
3_99,99,3,2.562638200836255,2.3213356174303463,2.0905513092943973,0.0,10.212901879989197,292,61,0.2089041095890411,Active,2.562638200836255,2.3213356174303463,2.0905513092943973,0.0,10.212901879989197,61,0.2089041095890411,231,0.791095890410959,2.932831773081304,2.230101663658562,2.645016792263327,54,2.932831773081304,2.230101663658562,2.645016792263327,41,0.7592592592592593,SufficientBaseline,2.181899751681724,1.7011057921334565,2.024822370015524,28,2.181899751681724,1.7011057921334565,2.024822370015524,2.51821069452718,2.3464576135180524,1.929898898656268,210,2.51821069452718,2.3464576135180524,1.929898898656268,-0.75093202139958,-0.2560433326902459,Decrease,0.75093202139958,True,-0.75093202139958,-0.2560433326902459,0.75093202139958,0.3363109428454556,0.75093202139958,0.3363109428454556,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
4_10,10,4,2.5213787071097125,2.3782354137934263,1.718282237565066,0.0,8.468192678316566,292,44,0.1506849315068493,Active,2.5213787071097125,2.3782354137934263,1.718282237565066,0.0,8.468192678316566,44,0.1506849315068493,248,0.8493150684931506,2.157993074476705,1.993887551004184,1.4864919567918564,54,2.157993074476705,1.993887551004184,1.4864919567918564,44,0.8148148148148148,SufficientBaseline,1.6608973034496437,1.7311185318541311,1.412890498906768,28,1.6608973034496437,1.7311185318541311,1.412890498906768,2.729551580750971,2.5434880880728263,1.765162093082692,210,2.729551580750971,2.5434880880728263,1.765162093082692,-0.4970957710270618,-0.2303509575199184,Decrease,0.4970957710270618,True,-0.4970957710270618,-0.2303509575199184,0.4970957710270618,1.0686542773013274,0.4970957710270618,1.0686542773013274,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
4_23,23,4,2.1458628155177752,2.016690905724181,1.7074557379654998,0.0,9.376977558509338,292,61,0.2089041095890411,Active,2.1458628155177752,2.016690905724181,1.7074557379654998,0.0,9.376977558509338,61,0.2089041095890411,231,0.791095890410959,1.972016717899322,1.8754784410781848,1.6023372038303367,54,1.972016717899322,1.8754784410781848,1.6023372038303367,42,0.7777777777777778,SufficientBaseline,1.0591497736643798,1.0549004371662198,1.0474182529978528,28,1.0591497736643798,1.0549004371662198,1.0474182529978528,2.33546117000964,2.248805829405677,1.7505124974298611,210,2.33546117000964,2.248805829405677,1.7505124974298611,-0.9128669442349422,-0.4629103475387205,Decrease,0.9128669442349422,True,-0.9128669442349422,-0.4629103475387205,0.9128669442349422,1.27631139634526,0.9128669442349422,1.27631139634526,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
4_54,54,4,1.2549410298131447,1.3972099017274933,1.2787887720609417,0.0,6.143072479992084,292,121,0.4143835616438356,LowActivity,1.2549410298131447,1.3972099017274933,1.2787887720609417,0.0,6.143072479992084,121,0.4143835616438356,171,0.5856164383561644,1.4771106917549517,1.5410241147116603,1.3332293975259533,54,1.4771106917549517,1.5410241147116603,1.3332293975259533,36,0.6666666666666666,SufficientBaseline,1.0832689172171206,1.0636541419542156,1.2163246541495023,28,1.0832689172171206,1.0636541419542156,1.2163246541495023,1.2207013031837692,1.403710491395203,1.2716698641794757,210,1.2207013031837692,1.403710491395203,1.2716698641794757,-0.3938417745378311,-0.2666298312890204,Decrease,0.3938417745378311,True,-0.3938417745378311,-0.2666298312890204,0.3938417745378311,0.1374323859666486,0.3938417745378311,0.1374323859666486,,,NotAffected,SufficientBaseline,Persistent Decrease,Baseline sufficient; inflow decreased >= 20%; no meaningful recovery
