grid_id,x,y,mean_activity,median_activity,std_activity,min_activity,max_activity,valid_days,zero_activity_days,zero_activity_ratio,activity_class,mean_inflow,median_inflow,std_inflow,min_inflow,max_inflow,zero_inflow_days,zero_inflow_ratio,inflow_active_days,inflow_active_ratio,pre_activity_mean,pre_activity_median,pre_activity_std,pre_days,pre_mean_inflow,pre_median_inflow,pre_std_inflow,pre_active_days,pre_active_ratio,baseline_class,january_activity_mean,january_activity_median,january_activity_std,january_days,january_mean_inflow,january_median_inflow,january_std_inflow,post_activity_mean,post_activity_median,post_activity_std,post_days,post_mean_inflow,post_median_inflow,post_std_inflow,impact_change,impact_ratio,impact_class,impact_magnitude,affected_by_earthquake,inflow_change,inflow_impact_ratio,activity_loss,activity_recovered,inflow_loss,inflow_recovered,recovery_ratio,inflow_recovery_ratio,recovery_status,baseline_classification,final_class,classification_reason
5_68,68,5,2.078094751549393,1.7674538769912869,1.5639160988369527,0.0,7.886673288859828,292,60,0.2054794520547945,Active,2.078094751549393,1.7674538769912869,1.5639160988369527,0.0,7.886673288859828,60,0.2054794520547945,232,0.7945205479452054,2.8061510065962403,2.4185759680071865,1.754771909451217,54,2.8061510065962403,2.4185759680071865,1.754771909451217,49,0.9074074074074074,SufficientBaseline,1.6754740124698737,1.461982028542177,1.382062770672983,28,1.6754740124698737,1.461982028542177,1.382062770672983,1.9445630511765208,1.6573090254946097,1.4836575978946525,210,1.9445630511765208,1.6573090254946097,1.4836575978946525,-1.1306769941263668,-0.4029280646225226,Decrease,1.1306769941263668,True,-1.1306769941263668,-0.4029280646225226,1.1306769941263668,0.2690890387066473,1.1306769941263668,0.2690890387066473,0.2379893109212527,0.2379893109212527,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
12_27,27,12,92.90996811044673,94.53287588932416,21.05030040656439,40.83485010240749,143.95367272937528,292,0,0.0,Active,92.42316115048884,93.75586362037208,20.778256692366977,40.336864125548864,142.83473576662584,0,0.0,292,1.0,106.0596163172674,112.29824604445103,24.29719603895559,54,105.1972833940512,111.6829347449825,23.786374932346448,54,1.0,SufficientBaseline,84.21756681063577,89.32187428280714,27.03045960757727,28,83.49598161266421,87.93870618796366,26.88339058657963,90.6876168400962,92.54048820271532,17.694947282451995,210,90.32867746433038,92.0158905052742,17.522445474510917,-21.701301781386988,-0.2062914657225281,Decrease,21.701301781386988,True,-21.701301781386988,-0.2062914657225281,21.701301781386988,6.832695851666173,21.701301781386988,6.832695851666173,0.3148518886330826,0.3148518886330826,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
14_32,32,14,3.03187717079069,2.820486820164952,2.110151608580901,0.0,11.44988837175779,292,44,0.1506849315068493,Active,3.03187717079069,2.820486820164952,2.110151608580901,0.0,11.44988837175779,44,0.1506849315068493,248,0.8493150684931506,4.445474291936581,4.325062335422663,2.343490868620989,54,4.445474291936581,4.325062335422663,2.343490868620989,50,0.925925925925926,SufficientBaseline,2.6743580540760834,2.558866792634464,1.6790659491018274,28,2.6743580540760834,2.558866792634464,1.6790659491018274,2.7160499837722667,2.5257734596702504,1.9517164830226452,210,2.7160499837722667,2.5257734596702504,1.9517164830226452,-1.7711162378604972,-0.3984088359419904,Decrease,1.7711162378604972,True,-1.7711162378604972,-0.3984088359419904,1.7711162378604972,0.0416919296961832,1.7711162378604972,0.0416919296961832,0.0235399172594945,0.0235399172594945,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
14_94,94,14,6.406274233579862,6.29842600073612,2.6416495284274832,0.0,16.595503699560382,292,3,0.0102739726027397,Active,6.406274233579862,6.29842600073612,2.6416495284274832,0.0,16.595503699560382,3,0.0102739726027397,289,0.9897260273972602,7.048156909703697,7.244003172464328,2.17074358441668,54,7.048156909703697,7.244003172464328,2.17074358441668,54,1.0,SufficientBaseline,4.7782051796814375,5.114410383582947,2.1796847359810285,28,4.7782051796814375,5.114410383582947,2.1796847359810285,6.458294562143999,6.149724830278718,2.728227729028161,210,6.458294562143999,6.149724830278718,2.728227729028161,-2.26995173002226,-0.3220631661728552,Decrease,2.26995173002226,True,-2.26995173002226,-0.3220631661728552,2.26995173002226,1.6800893824625618,2.26995173002226,1.6800893824625618,0.7401432198939696,0.7401432198939696,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
16_35,35,16,10.342781940279858,10.31785519685486,3.732931438600264,2.203699550584533,22.32202785355202,292,0,0.0,Active,10.316149429220596,10.245796151476856,3.724772762689084,2.203699550584533,22.803106040050984,0,0.0,292,1.0,12.156741212501082,12.148439120807852,4.078132621897141,54,12.075937919629652,12.31217199026853,4.033666810334219,54,1.0,SufficientBaseline,7.398796677960347,7.214162331290974,2.6547053920143178,28,7.398796677960347,7.214162331290974,2.6547053920143178,10.26886663858938,10.383091316250052,3.501044280659088,210,10.252612755664398,10.383091316250052,3.512325217912801,-4.677141241669305,-0.387310805404732,Decrease,4.677141241669305,True,-4.677141241669305,-0.387310805404732,4.677141241669305,2.8538160777040504,4.677141241669305,2.8538160777040504,0.6101624753768401,0.6101624753768401,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
16_48,48,16,2.3783752864848493,2.149648299779086,1.904138438899129,0.0,10.253714986559135,292,58,0.1986301369863013,Active,2.3783752864848493,2.149648299779086,1.904138438899129,0.0,10.253714986559135,58,0.1986301369863013,234,0.8013698630136986,3.171542989091771,3.195543277079528,1.958800465384744,54,3.171542989091771,3.195543277079528,1.958800465384744,45,0.8333333333333334,SufficientBaseline,1.8929493977820573,1.6059927644447898,1.6591619329081546,28,1.8929493977820573,1.6059927644447898,1.6591619329081546,2.239141329070108,1.9395564077205991,1.8724499107063783,210,2.239141329070108,1.9395564077205991,1.8724499107063783,-1.2785935913097135,-0.4031455968616279,Decrease,1.2785935913097135,True,-1.2785935913097135,-0.4031455968616279,1.2785935913097135,0.3461919312880508,1.2785935913097135,0.3461919312880508,0.2707599456473365,0.2707599456473365,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
21_38,38,21,7.878657178672725,7.571932159931011,3.0441224143576493,1.3838519189604483,17.679393053587503,292,0,0.0,Active,7.878657178672725,7.571932159931011,3.0441224143576493,1.3838519189604483,17.679393053587503,0,0.0,292,1.0,8.20045601500571,8.490546858543972,2.470033759702747,54,8.20045601500571,8.490546858543972,2.470033759702747,54,1.0,SufficientBaseline,5.648450864391449,5.716610500829351,1.655539122227827,28,5.648450864391449,5.716610500829351,1.655539122227827,8.093269748376985,7.699115508703525,3.2034032759334377,210,8.093269748376985,7.699115508703525,3.2034032759334377,-2.552005150614261,-0.3112028338356357,Decrease,2.552005150614261,True,-2.552005150614261,-0.3112028338356357,2.552005150614261,2.444818883985536,2.552005150614261,2.444818883985536,0.957999196591384,0.957999196591384,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
21_39,39,21,5.92728761676914,5.802027156821078,2.745001752791996,0.0,13.723268283306208,292,4,0.0136986301369863,Active,5.92728761676914,5.802027156821078,2.745001752791996,0.0,13.723268283306208,4,0.0136986301369863,288,0.9863013698630136,7.331273851799739,7.307354516409976,2.2578966511593515,54,7.331273851799739,7.307354516409976,2.2578966511593515,54,1.0,SufficientBaseline,4.401764278835992,4.528915979824914,2.11736015704135,28,4.401764278835992,4.528915979824914,2.11736015704135,5.769665696628548,5.5234710221947285,2.7880692346144262,210,5.769665696628548,5.5234710221947285,2.7880692346144262,-2.929509572963747,-0.3995907985683263,Decrease,2.929509572963747,True,-2.929509572963747,-0.3995907985683263,2.929509572963747,1.367901417792556,2.929509572963747,1.367901417792556,0.4669387089282209,0.4669387089282209,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
41_40,40,41,7.940154823268037,7.8257417596687455,2.883637440543592,1.7201376569171285,18.57668475066137,292,0,0.0,Active,7.940154823268037,7.8257417596687455,2.883637440543592,1.7201376569171285,18.57668475066137,0,0.0,292,1.0,8.796341532808542,8.480011955484578,3.1603997478847887,54,8.796341532808542,8.480011955484578,3.1603997478847887,54,1.0,SufficientBaseline,5.907607957017866,5.747333426387824,2.163331977243538,28,5.907607957017866,5.747333426387824,2.163331977243538,7.990998775362406,7.96124645426302,2.7739712470444484,210,7.990998775362406,7.96124645426302,2.7739712470444484,-2.888733575790676,-0.3284017071206586,Decrease,2.888733575790676,True,-2.888733575790676,-0.3284017071206586,2.888733575790676,2.0833908183445398,2.888733575790676,2.0833908183445398,0.7212125188022208,0.7212125188022208,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
41_41,41,41,3.1711016161552217,2.9351193316192647,2.177702146974008,0.0,11.982354485697613,292,40,0.136986301369863,Active,3.1711016161552217,2.9351193316192647,2.177702146974008,0.0,11.982354485697613,40,0.136986301369863,252,0.863013698630137,4.005984159807508,4.215544612023908,1.9732101866762453,54,4.005984159807508,4.215544612023908,1.9732101866762453,51,0.9444444444444444,SufficientBaseline,1.7022587157497375,1.590643678940813,1.5276896992942108,28,1.7022587157497375,1.590643678940813,1.5276896992942108,3.152263253555841,2.8551079340894208,2.201063552056457,210,3.152263253555841,2.8551079340894208,2.201063552056457,-2.303725444057771,-0.575071031775739,Decrease,2.303725444057771,True,-2.303725444057771,-0.575071031775739,2.303725444057771,1.4500045378061033,2.303725444057771,1.4500045378061033,0.629417251758991,0.629417251758991,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
41_42,42,41,3.203048588850167,2.863811271239457,2.223279194941976,0.0,10.263830270714337,292,38,0.1301369863013698,Active,3.203048588850167,2.863811271239457,2.223279194941976,0.0,10.263830270714337,38,0.1301369863013698,254,0.8698630136986302,4.0092780057507,3.9955517009314976,2.44203981727557,54,4.0092780057507,3.9955517009314976,2.44203981727557,48,0.8888888888888888,SufficientBaseline,1.4437433544917706,1.4763533184541475,1.2666238471196376,28,1.4437433544917706,1.4763533184541475,1.2666238471196376,3.2303064843235307,2.910534134105569,2.1399571018063672,210,3.2303064843235307,2.910534134105569,2.1399571018063672,-2.565534651258929,-0.6398994152012057,Decrease,2.565534651258929,True,-2.565534651258929,-0.6398994152012057,2.565534651258929,1.78656312983176,2.565534651258929,1.78656312983176,0.6963706878623054,0.6963706878623054,Calculated,SufficientBaseline,Partial Recovery,Baseline sufficient; inflow decreased >= 20%; some lost inflow recovered
