grid_id,x,y,mean_activity,median_activity,std_activity,min_activity,max_activity,valid_days,zero_activity_days,zero_activity_ratio,activity_class,mean_inflow,median_inflow,std_inflow,min_inflow,max_inflow,zero_inflow_days,zero_inflow_ratio,inflow_active_days,inflow_active_ratio,pre_activity_mean,pre_activity_median,pre_activity_std,pre_days,pre_mean_inflow,pre_median_inflow,pre_std_inflow,pre_active_days,pre_active_ratio,baseline_class,january_activity_mean,january_activity_median,january_activity_std,january_days,january_mean_inflow,january_median_inflow,january_std_inflow,post_activity_mean,post_activity_median,post_activity_std,post_days,post_mean_inflow,post_median_inflow,post_std_inflow,impact_change,impact_ratio,impact_class,impact_magnitude,affected_by_earthquake,inflow_change,inflow_impact_ratio,activity_loss,activity_recovered,inflow_loss,inflow_recovered,recovery_ratio,inflow_recovery_ratio,recovery_status,baseline_classification,final_class,classification_reason
1_89,89,1,1.8731169248789996,1.7655481346274702,1.6053745035328402,0.0,7.622312832715167,292,80,0.273972602739726,Active,1.8731169248789996,1.7655481346274702,1.6053745035328402,0.0,7.622312832715167,80,0.273972602739726,212,0.726027397260274,1.5656329239931646,1.2661733262458394,1.6437586457143991,54,1.5656329239931646,1.2661733262458394,1.6437586457143991,34,0.6296296296296297,SufficientBaseline,2.1966927831864385,2.199087163289753,1.544315440816043,28,2.1966927831864385,2.199087163289753,1.544315440816043,1.9090407916181744,1.9445011192513488,1.5985481795785663,210,1.9090407916181744,1.9445011192513488,1.5985481795785663,0.6310598591932739,0.4030701255207054,Increase,0.6310598591932739,False,0.6310598591932739,0.4030701255207054,-0.6310598591932739,-0.2876519915682638,-0.6310598591932739,-0.2876519915682638,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
2_56,56,2,2.1230540772783044,1.9470614969400215,1.7382900242413224,0.0,7.714750980593898,292,77,0.2636986301369863,Active,2.1230540772783044,1.9470614969400215,1.7382900242413224,0.0,7.714750980593898,77,0.2636986301369863,215,0.7363013698630136,1.8151327334888856,1.8347626614440196,1.5897837565486344,54,1.8151327334888856,1.8347626614440196,1.5897837565486344,35,0.6481481481481481,SufficientBaseline,2.4174549300238297,2.307180185732787,1.269373492781959,28,2.4174549300238297,2.307180185732787,1.269373492781959,2.162980404362847,1.9353013537856496,1.8221930312433527,210,2.162980404362847,1.9353013537856496,1.8221930312433527,0.6023221965349439,0.331833692061304,Increase,0.6023221965349439,False,0.6023221965349439,0.331833692061304,-0.6023221965349439,-0.2544745256609828,-0.6023221965349439,-0.2544745256609828,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
3_16,16,3,1.8081473566214248,1.5538793929378882,1.6813304244908127,0.0,8.186449612435887,292,89,0.3047945205479452,LowActivity,1.8081473566214248,1.5538793929378882,1.6813304244908127,0.0,8.186449612435887,89,0.3047945205479452,203,0.6952054794520548,1.562394207965372,1.490326820948613,1.5850855812869555,54,1.562394207965372,1.490326820948613,1.5850855812869555,34,0.6296296296296297,SufficientBaseline,1.9002943896108024,1.5354854530048636,1.3294646957603249,28,1.9002943896108024,1.5354854530048636,1.3294646957603249,1.8590547523534453,1.618788886575289,1.7467568000369589,210,1.8590547523534453,1.618788886575289,1.7467568000369589,0.3379001816454303,0.2162707592762142,Increase,0.3379001816454303,False,0.3379001816454303,0.2162707592762142,-0.3379001816454303,-0.0412396372573569,-0.3379001816454303,-0.0412396372573569,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
3_72,72,3,1.1311596834020006,0.9786799677549828,1.3038039715310927,0.0,6.034330992566174,292,142,0.4863013698630137,LowActivity,1.1311596834020006,0.9786799677549828,1.3038039715310927,0.0,6.034330992566174,142,0.4863013698630137,150,0.5136986301369864,1.0182551343032338,1.057439330813326,1.140626193308539,54,1.0182551343032338,1.057439330813326,1.140626193308539,29,0.5370370370370371,SufficientBaseline,1.5027828744116547,1.3819714111769146,1.3251511664705622,28,1.5027828744116547,1.3819714111769146,1.3251511664705622,1.1106425229403962,0.0,1.3371065059329892,210,1.1106425229403962,0.0,1.3371065059329892,0.4845277401084209,0.4758411951833378,Increase,0.4845277401084209,False,0.4845277401084209,0.4758411951833378,-0.4845277401084209,-0.3921403514712585,-0.4845277401084209,-0.3921403514712585,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
4_33,33,4,2.218724932117506,2.217635818249895,1.573788356404424,0.0,8.747868135933052,292,56,0.1917808219178082,Active,2.222583826898437,2.217635818249895,1.5813987484799954,0.0,8.747868135933052,56,0.1917808219178082,236,0.8082191780821918,2.080661104928556,1.8928996627836163,1.5371139344228957,54,2.092295608152848,1.8928996627836163,1.5604148606314927,42,0.7777777777777778,SufficientBaseline,2.5997444253266773,2.362843738236385,1.8246912533802293,28,2.617549214680972,2.362843738236385,1.854328813350029,2.203424460014394,2.228402647226331,1.547474659957609,210,2.203424460014394,2.228402647226331,1.547474659957609,0.5252536065281239,0.251041776545063,Increase,0.5252536065281239,False,0.5252536065281239,0.251041776545063,-0.5252536065281239,-0.4141247546665774,-0.5252536065281239,-0.4141247546665774,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
4_65,65,4,3.796429719637989,3.7133417172767738,1.7139045812855611,0.0,11.273417244204667,292,8,0.0273972602739726,Active,3.796429719637989,3.7133417172767738,1.7139045812855611,0.0,11.273417244204667,8,0.0273972602739726,284,0.9726027397260274,3.520855721148779,3.508130182288236,1.69866269338352,54,3.520855721148779,3.508130182288236,1.69866269338352,52,0.9629629629629628,SufficientBaseline,4.232152029002493,4.190299833072388,1.4054019819422794,28,4.232152029002493,4.190299833072388,1.4054019819422794,3.809195297048519,3.722720861471114,1.7486758036247931,210,3.809195297048519,3.722720861471114,1.7486758036247931,0.711296307853714,0.2020237022440764,Increase,0.711296307853714,False,0.711296307853714,0.2020237022440764,-0.711296307853714,-0.422956731953974,-0.711296307853714,-0.422956731953974,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
4_66,66,4,1.3032389100717985,1.1203565940280302,1.415261406164806,0.0,6.580429155066873,292,128,0.4383561643835616,LowActivity,1.3032389100717985,1.1203565940280302,1.415261406164806,0.0,6.580429155066873,128,0.4383561643835616,164,0.5616438356164384,1.202018244255311,1.1204739407538693,1.2276673352585044,54,1.202018244255311,1.1204739407538693,1.2276673352585044,31,0.5740740740740741,SufficientBaseline,1.816973566542785,1.764798678463395,1.6041249526851975,28,1.816973566542785,1.764798678463395,1.6041249526851975,1.2607691270856205,1.0892368833741148,1.426314839597016,210,1.2607691270856205,1.0892368833741148,1.426314839597016,0.6149553222874742,0.5116023198703268,Increase,0.6149553222874742,False,0.6149553222874742,0.5116023198703268,-0.6149553222874742,-0.5562044394571646,-0.6149553222874742,-0.5562044394571646,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
5_60,60,5,1.8993716175799815,1.6709097823094394,1.8490225946575063,0.0,9.661214826785802,292,95,0.3253424657534247,LowActivity,1.8993716175799815,1.6709097823094394,1.8490225946575063,0.0,9.661214826785802,95,0.3253424657534247,197,0.6746575342465754,1.3252011984765515,1.160454072208236,1.4138712015315726,54,1.3252011984765515,1.160454072208236,1.4138712015315726,30,0.5555555555555556,SufficientBaseline,2.1049402809219697,1.7019053638194637,1.743463807715787,28,2.1049402809219697,1.7019053638194637,1.743463807715787,2.0196062845228844,1.776682717695421,1.9378555602392575,210,2.0196062845228844,1.776682717695421,1.9378555602392575,0.7797390824454182,0.5883929801314733,Increase,0.7797390824454182,False,0.7797390824454182,0.5883929801314733,-0.7797390824454182,-0.0853339963990853,-0.7797390824454182,-0.0853339963990853,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
5_62,62,5,3.744507832795711,3.440838436250658,2.16718399903313,0.0,10.501966690551107,292,21,0.071917808219178,Active,3.744507832795711,3.440838436250658,2.16718399903313,0.0,10.501966690551107,21,0.071917808219178,271,0.928082191780822,2.944178870726629,2.7596849854638235,1.778407284235404,54,2.944178870726629,2.7596849854638235,1.778407284235404,48,0.8888888888888888,SufficientBaseline,4.2533193513402345,3.8560527814662056,2.316277025585872,28,4.2533193513402345,3.8560527814662056,2.316277025585872,3.882465172950395,3.566296205219807,2.1965807421723524,210,3.882465172950395,3.566296205219807,2.1965807421723524,1.309140480613605,0.4446538536194666,Increase,1.309140480613605,False,1.309140480613605,0.4446538536194666,-1.309140480613605,-0.3708541783898393,-1.309140480613605,-0.3708541783898393,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
6_62,62,6,6.480930316429043,6.148794366308836,2.808265829854238,0.0,14.699983729126537,292,2,0.0068493150684931,Active,6.480930316429043,6.148794366308836,2.808265829854238,0.0,14.699983729126537,2,0.0068493150684931,290,0.9931506849315068,5.100582636282514,4.817805306777792,2.0628720333150383,54,5.100582636282514,4.817805306777792,2.0628720333150383,54,1.0,SufficientBaseline,7.132093688015668,7.184285228757309,2.982065979135175,28,7.132093688015668,7.184285228757309,2.982065979135175,6.74905507987422,6.455742425989314,2.851532984490579,210,6.74905507987422,6.455742425989314,2.851532984490579,2.031511051733154,0.3982899987311629,Increase,2.031511051733154,False,2.031511051733154,0.3982899987311629,-2.031511051733154,-0.3830386081414483,-2.031511051733154,-0.3830386081414483,,,NotDecreased,SufficientBaseline,Partial Dissipation,Baseline sufficient; January inflow increased >= 20%; Post decreased but remains above Pre
